Taiwan, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 02/04/2012
Year    Age        female
1983     16     0.00860
1983     17     0.01957
1983     18     0.03505
1983     19     0.05704
1983     20     0.08620
1983     21     0.12392
1983     22     0.15532
1983     23     0.18718
1983     24     0.20404
1983     25     0.20197
1983     26     0.19338
1983     27     0.17764
1983     28     0.15551
1983     29     0.12236
1983     30     0.09716
1983     31     0.07518
1983     32     0.05609
1983     33     0.04074
1983     34     0.03054
1983     35     0.02189
1983     36     0.01653
1983     37     0.01075
1983     38     0.00930
1983     39     0.00656
1983     40     0.00479
1983     41     0.00366
1983     42     0.00211
1983     43     0.00140
1983     44     0.00102
1983     45     0.00063
1983     46     0.00036
1983     47     0.00014
1983     48     0.00010
1983     49     0.00009
1983     50     0.00016
1983     51     0.00013
1983     52     0.00006
1983     53     0.00002
1983     54     0.00000
1983     55+    0.00000
1984     12-    0.00000
1984     13     0.00015
1984     14     0.00152
1984     15     0.00224
1984     16     0.00764
1984     17     0.01793
1984     18     0.02999
1984     19     0.05107
1984     20     0.07873
1984     21     0.11341
1984     22     0.14981
1984     23     0.17660
1984     24     0.19454
1984     25     0.19974
1984     26     0.18877
1984     27     0.17058
1984     28     0.14840
1984     29     0.11921
1984     30     0.09296
1984     31     0.07223
1984     32     0.05592
1984     33     0.04134
1984     34     0.02828
1984     35     0.02095
1984     36     0.01484
1984     37     0.01159
1984     38     0.00764
1984     39     0.00544
1984     40     0.00399
1984     41     0.00252
1984     42     0.00243
1984     43     0.00140
1984     44     0.00093
1984     45     0.00057
1984     46     0.00029
1984     47     0.00007
1984     48     0.00009
1984     49     0.00000
1984     50     0.00014
1984     51     0.00018
1984     52     0.00008
1984     53     0.00003
1984     54     0.00001
1984     55+    0.00000
1985     12-    0.00000
1985     13     0.00013
1985     14     0.00132
1985     15     0.00214
1985     16     0.00643
1985     17     0.01522
1985     18     0.02764
1985     19     0.04321
1985     20     0.06689
1985     21     0.09918
1985     22     0.13210
1985     23     0.16287
1985     24     0.17855
1985     25     0.18347
1985     26     0.18067
1985     27     0.16045
1985     28     0.13864
1985     29     0.11207
1985     30     0.08973
1985     31     0.06833
1985     32     0.05080
1985     33     0.03800
1985     34     0.02826
1985     35     0.01955
1985     36     0.01440
1985     37     0.01010
1985     38     0.00759
1985     39     0.00477
1985     40     0.00400
1985     41     0.00245
1985     42     0.00168
1985     43     0.00130
1985     44     0.00094
1985     45     0.00037
1985     46     0.00022
1985     47     0.00013
1985     48     0.00010
1985     49     0.00005
1985     50     0.00015
1985     51     0.00014
1985     52     0.00006
1985     53     0.00002
1985     54     0.00000
1985     55+    0.00000
1986     12-    0.00000
1986     13     0.00016
1986     14     0.00151
1986     15     0.00198
1986     16     0.00597
1986     17     0.01358
1986     18     0.02433
1986     19     0.04038
1986     20     0.05832
1986     21     0.08441
1986     22     0.11323
1986     23     0.14209
1986     24     0.15745
1986     25     0.16062
1986     26     0.15605
1986     27     0.14606
1986     28     0.12516
1986     29     0.09796
1986     30     0.07912
1986     31     0.06292
1986     32     0.04792
1986     33     0.03527
1986     34     0.02631
1986     35     0.01886
1986     36     0.01375
1986     37     0.00934
1986     38     0.00667
1986     39     0.00484
1986     40     0.00372
1986     41     0.00245
1986     42     0.00158
1986     43     0.00107
1986     44     0.00068
1986     45     0.00046
1986     46     0.00021
1986     47     0.00012
1986     48     0.00006
1986     49     0.00004
1986     50     0.00023
1986     51     0.00023
1986     52     0.00009
1986     53     0.00003
1986     54     0.00001
1986     55+    0.00000
1987     12-    0.00000
1987     13     0.00012
1987     14     0.00124
1987     15     0.00200
1987     16     0.00610
1987     17     0.01287
1987     18     0.02237
1987     19     0.03534
1987     20     0.05678
1987     21     0.07995
1987     22     0.10751
1987     23     0.13619
1987     24     0.15917
1987     25     0.16726
1987     26     0.16260
1987     27     0.15305
1987     28     0.13611
1987     29     0.10502
1987     30     0.08377
1987     31     0.06614
1987     32     0.05028
1987     33     0.03744
1987     34     0.02683
1987     35     0.02033
1987     36     0.01380
1987     37     0.00974
1987     38     0.00655
1987     39     0.00472
1987     40     0.00344
1987     41     0.00237
1987     42     0.00149
1987     43     0.00093
1987     44     0.00051
1987     45     0.00028
1987     46     0.00011
1987     47     0.00015
1987     48     0.00009
1987     49     0.00001
1987     50     0.00010
1987     51     0.00012
1987     52     0.00006
1987     53     0.00002
1987     54     0.00000
1987     55+    0.00000
1988     12-    0.00000
1988     13     0.00013
1988     14     0.00139
1988     15     0.00218
1988     16     0.00596
1988     17     0.01344
1988     18     0.02184
1988     19     0.03513
1988     20     0.05619
1988     21     0.08083
1988     22     0.10820
1988     23     0.13948
1988     24     0.16271
1988     25     0.17931
1988     26     0.18167
1988     27     0.17009
1988     28     0.15376
1988     29     0.12512
1988     30     0.09948
1988     31     0.07801
1988     32     0.05887
1988     33     0.04363
1988     34     0.03279
1988     35     0.02327
1988     36     0.01706
1988     37     0.01110
1988     38     0.00760
1988     39     0.00481
1988     40     0.00336
1988     41     0.00230
1988     42     0.00118
1988     43     0.00083
1988     44     0.00049
1988     45     0.00041
1988     46     0.00012
1988     47     0.00010
1988     48     0.00002
1988     49     0.00002
1988     50     0.00012
1988     51     0.00013
1988     52     0.00006
1988     53     0.00002
1988     54     0.00000
1988     55+    0.00000
1989     12-    0.00000
1989     13     0.00012
1989     14     0.00139
1989     15     0.00251
1989     16     0.00683
1989     17     0.01312
1989     18     0.02159
1989     19     0.03428
1989     20     0.05047
1989     21     0.07296
1989     22     0.09884
1989     23     0.12329
1989     24     0.14246
1989     25     0.15698
1989     26     0.15894
1989     27     0.15411
1989     28     0.13778
1989     29     0.11425
1989     30     0.09394
1989     31     0.07442
1989     32     0.05721
1989     33     0.04311
1989     34     0.03276
1989     35     0.02361
1989     36     0.01765
1989     37     0.01240
1989     38     0.00838
1989     39     0.00539
1989     40     0.00384
1989     41     0.00240
1989     42     0.00151
1989     43     0.00088
1989     44     0.00055
1989     45     0.00026
1989     46     0.00019
1989     47     0.00010
1989     48     0.00004
1989     49     0.00001
1989     50     0.00010
1989     51     0.00012
1989     52     0.00006
1989     53     0.00002
1989     54     0.00000
1989     55+    0.00000
1990     12-    0.00000
1990     13     0.00013
1990     14     0.00150
1990     15     0.00268
1990     16     0.00685
1990     17     0.01447
1990     18     0.02204
1990     19     0.03539
1990     20     0.05174
1990     21     0.07230
1990     22     0.10098
1990     23     0.12694
1990     24     0.14576
1990     25     0.16400
1990     26     0.17371
1990     27     0.17033
1990     28     0.15517
1990     29     0.12724
1990     30     0.10616
1990     31     0.08491
1990     32     0.06411
1990     33     0.04770
1990     34     0.03664
1990     35     0.02614
1990     36     0.01819
1990     37     0.01274
1990     38     0.00861
1990     39     0.00594
1990     40     0.00405
1990     41     0.00234
1990     42     0.00133
1990     43     0.00101
1990     44     0.00050
1990     45     0.00026
1990     46     0.00021
1990     47     0.00015
1990     48     0.00002
1990     49     0.00003
1990     50     0.00011
1990     51     0.00011
1990     52     0.00005
1990     53     0.00002
1990     54     0.00000
1990     55+    0.00000
1991     12-    0.00000
1991     13     0.00010
1991     14     0.00129
1991     15     0.00292
1991     16     0.00808
1991     17     0.01462
1991     18     0.02333
1991     19     0.03445
1991     20     0.04913
1991     21     0.06898
1991     22     0.08983
1991     23     0.11489
1991     24     0.13407
1991     25     0.14705
1991     26     0.15928
1991     27     0.15923
1991     28     0.15045
1991     29     0.12506
1991     30     0.10264
1991     31     0.08334
1991     32     0.06706
1991     33     0.04987
1991     34     0.03636
1991     35     0.02697
1991     36     0.02061
1991     37     0.01334
1991     38     0.00907
1991     39     0.00616
1991     40     0.00408
1991     41     0.00270
1991     42     0.00148
1991     43     0.00091
1991     44     0.00053
1991     45     0.00026
1991     46     0.00016
1991     47     0.00005
1991     48     0.00006
1991     49     0.00006
1991     50     0.00013
1991     51     0.00011
1991     52     0.00005
1991     53     0.00002
1991     54     0.00000
1991     55+    0.00000
1992     12-    0.00000
1992     13     0.00008
1992     14     0.00112
1992     15     0.00302
1992     16     0.00786
1992     17     0.01541
1992     18     0.02300
1992     19     0.03620
1992     20     0.05038
1992     21     0.06740
1992     22     0.08722
1992     23     0.11138
1992     24     0.13246
1992     25     0.14896
1992     26     0.15357
1992     27     0.15841
1992     28     0.14768
1992     29     0.12855
1992     30     0.10777
1992     31     0.08767
1992     32     0.06827
1992     33     0.05410
1992     34     0.03903
1992     35     0.02839
1992     36     0.02107
1992     37     0.01456
1992     38     0.00988
1992     39     0.00678
1992     40     0.00433
1992     41     0.00263
1992     42     0.00146
1992     43     0.00083
1992     44     0.00049
1992     45     0.00020
1992     46     0.00018
1992     47     0.00006
1992     48     0.00008
1992     49     0.00001
1992     50     0.00008
1992     51     0.00010
1992     52     0.00005
1992     53     0.00002
1992     54     0.00000
1992     55+    0.00000
1993     12-    0.00000
1993     13     0.00013
1993     14     0.00147
1993     15     0.00291
1993     16     0.00831
1993     17     0.01543
1993     18     0.02418
1993     19     0.03694
1993     20     0.05160
1993     21     0.06835
1993     22     0.08880
1993     23     0.10981
1993     24     0.12642
1993     25     0.14703
1993     26     0.15550
1993     27     0.15617
1993     28     0.15301
1993     29     0.13192
1993     30     0.11207
1993     31     0.09180
1993     32     0.07221
1993     33     0.05591
1993     34     0.04294
1993     35     0.03088
1993     36     0.02204
1993     37     0.01626
1993     38     0.01085
1993     39     0.00702
1993     40     0.00445
1993     41     0.00293
1993     42     0.00179
1993     43     0.00084
1993     44     0.00055
1993     45     0.00030
1993     46     0.00010
